streams working with VS1053_ext

//______________________________________________________________________
320k streams 

107.8 Radio Jackie                        www.radiojackie.com:5873/
egoFM                                     mp3ad.egofm.c.nmdn.net/ps-egofm_128/livestream.mp3.m3u
ENERGY BERLIN                             185.52.127.159/de/33001/mp3_128.mp3
extra-radio 88.0                          www.radionetz.de:8000/extra-radio.mp3
FEUCHT.FM                                 www.surfmusik.de/m3u/feucht-fm,18326.m3u
fischkopp                                 fischkopp.stream.laut.fm/fischkopp?ref=vtuner
FluxFM - Live                             fluxfm.hoerradar.de/fluxfm-berlin
Fritz vom rbb                             www.fritz.de/live.m3u
Gong 97,1                                 webstream.gong971.de/gong971
Hamburg ZWEI                              stream.hamburg-zwei.de/hh2-live/mp3-128/vtuner/
harmony.fm                                mp3.harmonyfm.de/harmonyfm/hqlivestream.mp3
Hitradio FFH                              mp3.ffh.de/radioffh/hqlivestream.mp3
Hitradio MS One                           stream.msone.de:9000
Hitradio N1                               webstream.hitradion1.de/hitradion1
Hitradio RT1 96,7 FM                      mp3.hitradiort1.c.nmdn.net/hitradiort1hp/livestream.mp3
Hitradio SKW                              edge.audio.3qsdn.com/senderkw-mp3
HITS80s                                   listen.radionomy.com/1HITS80s.m3u
Hitstation.fm                             46.105.118.14:13500/
HIT104 - Your Top 40 Channel              tuner.hit104.com:80
hr1                                       metafiles.gl-systemhaus.de/hr/hr1_2.m3u
hr2                                       metafiles.gl-systemhaus.de/hr/hr2_2.m3u
hr3                                       hr-hr3-live.cast.addradio.de/hr/hr3/live/mp3/128/stream.mp3
hr4                                       hr-hr4-live.cast.addradio.de/hr/hr4/live/mp3/128/stream.mp3
I Love Radio                              www.iloveradio.de/iloveradio.m3u
JACK FM                                   tuner.jackfm.de:80/
JOKE FM                                   rs33.stream24.net/joke-fm.mp3
kick!fm                                   live.kickfm.eu:8000/
KielFM - 101,2 Mhz                        radio.oksh.de:8000/kielfm.mp3.m3u
KiRaKa                                    wdr-kiraka-live.icecast.wdr.de/wdr/kiraka/live/mp3/128/stream.mp3
Klassik Radio - Live                      stream.klassikradio.de/live/mp3-128/www.klassikradio.de/
KULTRADIO                                 ice.kultradio.fm/kult128.mp3.m3u
LandesWelle Thueringen                    stream.landeswelle.de/lwt/mp3-192
Leinehertz 106.5                          leinehertz01.htp.net:8000
M1-Chillout                               tuner.m1.fm/chillout.mp3
M1-Hits                                   tuner.m1.fm/hits.mp3
MAXX FM                                   mp3ad.radiob2maxxfm.c.nmdn.net/radiob2maxxfm/livestream.mp3
MDR JUMP                                  avw.mdr.de/streams/284320-0_mp3_high.m3u
MDR SACHSEN                               avw.mdr.de/streams/284280-0_aac_high.m3u
MDR SPUTNIK                               avw.mdr.de/streams/284330-0_mp3_high.m3u
MDR THUERINGEN                            avw.mdr.de/streams/284300-0_mp3_high.m3u
MEER RADIO 88.0                           meerradio.ip-streaming.net/meerradio
MEGA RADIO                                mega.syntegic.net:8000/mega.mp3
